Shrub_ID,species_short_code,species_full_code,species_name,species_common,rep,ht_cm,d1_cm,d2_cm,wet_weight_plut_tare,tare_type ,big_sample_weight_kg,big_sample_weight_g,subsample_tare_g,subsample_wet_g,subsample_dry_g,corner_start,corner_stop,corner1,corner2,corner3,corner4
ARTRW_1,ARTRW,ARTRW,Artemisia tridentata s. wyomingensis,Wyoming big sagebrush,1,59,137,88,3.26,ASTERISK,2.82,2820,57.95,244.26,169.01,2,5,2,3,4,5
ARTRV_1,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,1,53,88,75,0.9,NONE,0.9,900,57.67,400.77,223.04,6,9,6,7,8,9
ARAR_2,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,2,49.5,112,65,2.3,ASTERISK,1.86,1860,59.49,477.82,307.26,10,13,10,11,12,13
ARTRT_2,ARTRT,ARTRT,Artemisia tridentata s. tridentata,basin big sagebrush,2,99,109,70,6.25,ASTERISK,5.81,5810,57.63,335.61,206.25,14,17,14,15,16,17
ARTRW_2,ARTRW,ARTRW,Artemisia tridentata s. wyomingensis,Wyoming big sagebrush,2,32,43,20,0.4,NONE,0.4,400,60.25,320.88,218.14,18,21,18,19,20,21
ARTRT_3,ARTRT,ARTRT,Artemisia tridentata s. tridentata,basin big sagebrush,3,154,217,122,12.14,ASTERISK,11.7,11700,58.02,646.66,490.75,22,25,22,23,24,25
ARAR_3,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,3,43,98,83,2.36,ASTERISK,1.92,1920,57.34,361.56,245.66,26,29,26,27,28,29
ARAR_4,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,4,44,74,53,1.36,ASTERISK,0.92,920,57.79,351.29,270.76,30,33,30,31,32,33
ARAR_1,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,1,50,58,21,0.8,NONE,0.8,800,57.57,427.35,312.54,34,37,34,35,36,37
ARAR_7,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,7,52,76,55,1.52,ASTERISK,1.08,1080,57.37,268.66,190.82,38,41,38,39,40,41
ARAR_6,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,6,33,54,33,0.74,ASTERISK,0.3,300,57.4,212.15,145.88,42,45,42,43,44,45
ARAR_8,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,8,60,135,128,5.4,ASTERISK,4.96,4960,57.3,430.34,295.11,46,49,46,47,48,49
CHVI_1,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,1,41,55,30,0.32,NONE,0.32,320,60.53,240.8,127.16,50,53,50,51,52,53
ARAR_5,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,5,46,112,89,2.48,ASTERISK,2.04,2040,57.59,310.24,217.15,54,57,54,55,56,57
CHVI_2,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,2,31,48,28,0.18,NONE,0.18,180,60.49,236.38,166.85,58,61,58,59,60,61
CHVI_5,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,5,43,62,34,0.68,ASTERISK,0.24,240,60.29,206.68,117,62,65,62,63,64,65
CHVI_3,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,3,37,67,55,1.16,BOTH WB,0.8,800,7.46,195.62,117.43,66,69,66,67,68,69
CHVI_4,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,4,21,30,15,0.24,WB,0.06,60,7.44,90.82,57.58,70,73,70,71,72,73
ARTRV_3,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,3,60,79,60,1.74,ASTERISK,1.3,1300,59.94,564.47,294.44,74,77,74,75,76,77
ARTRV_4,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,4,81,163,159,6.2,ASTERISK,5.76,5760,59.66,228.95,161.87,78,81,78,79,80,81
ARTRV_5,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,5,102,138,124,6.3,ASTERISK,5.86,5860,57.84,589.34,482.24,82,85,82,83,84,85
ARTRV_6,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,6,61,92,79,1.8,ASTERISK,1.36,1360,57.36,373.89,260.63,87,90,87,88,89,90
ARTRV_7,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,7,78,165,123,4.42,ASTERISK,3.98,3980,58.03,458.17,341.79,91,94,91,92,93,94
PUTR_7,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,7,75,97,80,0.86,NONE,0.86,860,59.6,306.59,202.95,95,98,95,96,97,98
PUTR_8,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,8,104,168,170,3.46,ASTERISK,3.02,3020,60.32,610.94,394.07,99,102,99,100,101,102
ARTRV_8,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,8,78,116,71,2.58,ASTERISK,2.14,2140,60.95,537.15,358.28,103,106,103,104,105,106
ARTRV_9,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,9,95,131,115,3.26,ASTERISK,2.82,2820,59.92,715.92,481.22,107,110,107,108,109,110
ARTRV_10,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,10,58,81,75,7.6,ASTERISK,7.16,7160,60.38,398.62,336.28,111,114,111,112,113,114
ARTRV_11,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,11,69,45,43,0.92,ASTERISK,0.48,480,57.62,327.92,201.91,115,118,115,116,117,118
TECA_7,TECA,TECA2,Tetradymia canescens,spineless horsebrush,7,38,73,68,0.66,STAR,0.46,460,57.58,195.6,122.63,119,122,119,120,121,122
ARTRV_12,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,12,82,119,122,2.86,ASTERISK,2.42,2420,60.09,442.32,307.15,123,126,123,124,125,126
TECA_8,TECA,TECA2,Tetradymia canescens,spineless horsebrush,8,29,58,30,0.32,STAR,0.12,120,57.48,152.41,112.24,126,130,126,127,128,129
ARTRV_13,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,13,52,55,56,0.9,ASTERISK,0.46,460,60.24,172.12,110.98,131,134,131,132,133,134
PUTR_4,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,4,84,123,98,1.64,NONE,1.64,1640,60.09,767.56,504.11,135,138,135,136,137,138
TECA_9,TECA,TECA2,Tetradymia canescens,spineless horsebrush,9,37,71,62,1.22,ASTERISK,0.78,780,59.63,354.25,222.5,139,142,139,140,141,142
PUTR_3,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,3,93,203,205,8.8,ASTERISK,8.36,8360,57.5,422.82,278.41,143,146,143,144,145,146
ARTRV_14,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,14,55,84,71,1.3,NONE,1.3,1300,59.93,371.02,219.38,147,150,147,148,149,150
PUTR_2,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,2,84,132,125,4.42,ASTERISK,3.98,3980,57.88,712.02,457.97,151,154,151,152,153,154
ARTRV_15,ARTRV,ARTRV,Artemisia tridentata s. vaseyana,mountain big sagebrush,15,64,91,77,1.26,NONE,1.26,1260,60.3,423.18,229.18,155,158,155,156,157,158
PUTR_1,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,1,70,81,55,1.24,ASTERISK,0.8,800,59.86,231.04,153.4,159,162,159,160,161,162
PUTR_5,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,5,153,190,173,10.26,ALL ASTERISK,8.94,8940,57.75,433.44,323.87,163,164,163,164,165,166
PUTR_6,PUTR,PUTR2,Purshia tridentata,Antelope bitterbrush,6,77,87,59,0.92,NONE,0.92,920,60.16,475.87,308.28,167,170,167,168,169,170
CHVI_12,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,12,49,61,42,0.5,ASTERISK,0.06,60,57.99,348.45,227.97,171,174,171,172,173,174
CHVI_11,CHVI,CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,11,19,43,35,0.34,STAR,0.14,140,57.84,141.96,102.23,175,178,175,176,177,178
ARAR_10,ARAR,ARAR8,Artemisia arbuscula,low sagebrush,10,49,136,152,5.34,ASTERISK,4.9,4900,59.82,318.32,202.29,179,82,179,180,181,182
