Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
5,,,,,-114.38370918,43.33866569,1466.778,,,,,1.886,m,FIX,2022-06-03 10:30:43.8 UTC-06:00,2022-06-03 10:30:43.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,17.592,Global CS
6,,,,,-114.38379327,43.33874161,1467.177,,,,,1.886,m,FIX,2022-06-03 10:31:32.8 UTC-06:00,2022-06-03 10:31:32.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,25.641,Global CS
7,,,,,-114.38378412,43.33873888,1467.130,,,,,1.886,m,FIX,2022-06-03 10:31:39.8 UTC-06:00,2022-06-03 10:31:39.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,24.843,Global CS
8,,,,,-114.38379038,43.33874842,1467.162,,,,,1.886,m,FIX,2022-06-03 10:31:49.6 UTC-06:00,2022-06-03 10:31:49.6 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,25.656,Global CS
9,,,,,-114.38378054,43.33874775,1467.116,,,,,1.886,m,FIX,2022-06-03 10:31:56.4 UTC-06:00,2022-06-03 10:31:56.4 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,24.884,Global CS
10,,,,,-114.38382657,43.33884542,1467.344,,,,,1.886,m,FIX,2022-06-03 10:33:01.6 UTC-06:00,2022-06-03 10:33:01.6 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,33.33,Global CS
11,,,,,-114.38381873,43.33884303,1467.332,,,,,1.886,m,FIX,2022-06-03 10:33:12.8 UTC-06:00,2022-06-03 10:33:12.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,32.66,Global CS
12,,,,,-114.38381542,43.33885114,1467.316,,,,,1.886,m,FIX,2022-06-03 10:33:24.2 UTC-06:00,2022-06-03 10:33:24.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,32.981,Global CS
13,,,,,-114.38382359,43.33885391,1467.337,,,,,1.886,m,FIX,2022-06-03 10:33:34.0 UTC-06:00,2022-06-03 10:33:34.0 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,33.697,Global CS
14,,,,,-114.38389846,43.33887794,1467.805,,,,,1.886,m,FIX,2022-06-03 10:34:02.8 UTC-06:00,2022-06-03 10:34:02.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,40.195,Global CS
15,,,,,-114.38390750,43.33888025,1467.871,,,,,1.886,m,FIX,2022-06-03 10:34:12.8 UTC-06:00,2022-06-03 10:34:12.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,40.943,Global CS
